teacher_id,name,base_district,base_lat,base_lng,subjects,capacity_hours_per_week
HG001,Nguyen Thi Mai,Dong Van,23.2741,105.3678,Math,7
HG002,Vang A Pao,Meo Vac,23.1583,105.4021,Math;Physics,8
HG003,Ly Thi Hoa,Yen Minh,23.1152,105.1547,English,6
HG004,Giang Seo Phu,Quan Ba,23.0619,104.9872,IT,8
HG005,Tran Van Hung,Vi Xuyen,22.8234,104.9213,Math;Biology,7
HG006,Sung Thi Cho,Hoang Su Phi,22.7341,104.6789,Biology,6
HG007,Pham Thi Lan,Xin Man,22.6914,104.4523,English;IT,8
HG008,Lu Van Chien,Bac Me,22.7823,105.3412,Physics;Math,7
HG009,Nong Thi Thu,Quang Binh,22.5134,104.8901,Biology;English,6
HG010,Hau A Lu,Dong Van,23.2613,105.3512,Math;Physics;IT,8
HG011,Dinh Thi Xuan,Ha Giang City,22.8236,104.9837,English,8
HG012,Cu Thi Pang,Meo Vac,23.1437,105.3891,Biology,6
HG013,Nguyen Van Binh,Vi Xuyen,22.7901,104.9561,IT;Math,7
HG014,Thao Thi My,Yen Minh,23.1298,105.1734,Physics,6
HG015,Le Van Duc,Quan Ba,23.0723,104.9634,Math;English,8
HG016,Mua Thi Dinh,Dong Van,23.2891,105.3234,Math;English,7
HG017,Vang Thi Chua,Meo Vac,23.1712,105.4189,Biology,6
HG018,Ly A Tua,Yen Minh,23.1034,105.1823,Physics;IT,8
HG019,Hoang Van Nam,Quan Ba,23.0512,104.9723,Math,7
HG020,Sung A De,Vi Xuyen,22.8123,104.9345,English;Biology,8
HG021,Tran Thi Nga,Hoang Su Phi,22.7512,104.6934,IT,8
HG022,Chao Thi May,Xin Man,22.7012,104.4712,Math;Physics,6
HG023,Nguyen Thi Phuong,Bac Me,22.8012,105.3234,English,7
HG024,Lu Van Pao,Quang Binh,22.5289,104.8712,Biology;Math,6
HG025,Giang Thi Sua,Dong Van,23.2512,105.3789,Physics,8
HG026,Pham Van Long,Ha Giang City,22.8345,104.9712,IT;English,8
HG027,Thao A Cho,Meo Vac,23.1623,105.3967,Math,7
HG028,Vu Thi Linh,Vi Xuyen,22.7812,104.9423,Biology;Physics,8
HG029,Cu A Lau,Yen Minh,23.1189,105.1612,Math;IT,6
HG030,Le Thi Huong,Quan Ba,23.0634,104.9512,English,7
HG031,Dinh Van Tu,Hoang Su Phi,22.7423,104.7012,Physics;Biology,8
HG032,Nong Van Hai,Bac Me,22.7912,105.3589,Math,6
HG033,Hau Thi Cho,Xin Man,22.6812,104.4634,English;Math,8
HG034,Ly Thi My,Quang Binh,22.5412,104.8823,IT,7
HG035,Vang A Chu,Dong Van,23.2634,105.3456,Biology;Physics,7
HG036,Sung Thi Gia,Meo Vac,23.1512,105.4078,Math,8
HG037,Tran Van Thang,Ha Giang City,22.8189,104.9623,English;IT,6
HG038,Giang A Minh,Vi Xuyen,22.8067,104.9289,Physics,8
HG039,Pham Thi Dung,Yen Minh,23.1356,105.1489,Math;Biology,8
HG040,Dang Thi Thao,Ha Giang City,22.8412,104.9789,Math,8
HG041,Vang A The,Dong Van,23.2789,105.3345,Math,8
HG042,Lo Thi Chien,Meo Vac,23.1678,105.3812,Physics;English,7
HG043,Hoang Thi Yen,Yen Minh,23.1423,105.1923,IT,8
HG044,Giang Seo Minh,Quan Ba,23.0834,104.9789,Math;Biology,6
HG045,Nong Thi Phuong,Vi Xuyen,22.8289,104.9134,English,7
HG046,Thao Van Lu,Hoang Su Phi,22.7234,104.7134,Physics,8
HG047,Pham Thi Tuyet,Xin Man,22.7123,104.4489,Math;IT,6
HG048,Ly Thi Chan,Bac Me,22.7734,105.3289,Biology,8
HG049,Sung A Co,Quang Binh,22.5067,104.8634,English;Physics,7
HG050,Cu A Pao,Yen Minh,23.1512,105.1356,Biology;IT,7
HG051,Sung Van Minh,Dong Van,23.2823,105.3712,Math;English,7
HG052,Ma Thi Pao,Dong Van,23.2456,105.3923,Biology,6
HG053,Vang Seo Lua,Dong Van,23.3034,105.3156,Physics;Math,8
HG054,Giang A Gia,Dong Van,23.2167,105.4089,IT,6
HG055,Cu Thi Xo,Dong Van,23.2934,105.3489,English,7
HG056,Ly A Vang,Meo Vac,23.1289,105.3734,Math,7
HG057,Thao Thi Su,Meo Vac,23.1834,105.4256,English;Biology,8
HG058,Giang Thi Cang,Meo Vac,23.1056,105.3956,Physics,6
HG059,Sung A Pao,Meo Vac,23.1967,105.3623,Math;IT,8
HG060,Ma Van Cu,Meo Vac,23.1378,105.4134,Biology,6
HG061,Nguyen Thi Lan,Yen Minh,23.0934,105.1412,Math;English,8
HG062,Thao A Sung,Yen Minh,23.1512,105.2034,Physics;Biology,7
HG063,Ly Thi Pao,Yen Minh,23.0756,105.1689,IT,6
HG064,Giang Van Cu,Yen Minh,23.1623,105.1289,Math,7
HG065,Pham Van Thanh,Yen Minh,23.1089,105.1945,English,8
HG066,Sung Thi Vang,Quan Ba,23.0423,104.9456,Math;Biology,6
